cue_index,memory_seed,target,rho,mask_index,method,alpha,category,converged,convergence_step,stable,stability_radius,final_top_memory,final_max_weight,final_ipr,final_support_size,level,target_ipr
57.0,0.0,57.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
58.0,0.0,58.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207524,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
59.0,0.0,59.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207524,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
61.0,0.0,61.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207524,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
65.0,0.0,65.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207524,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
70.0,0.0,70.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
76.0,0.0,76.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207524,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
78.0,0.0,78.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
82.0,0.0,82.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
84.0,0.0,84.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
88.0,0.0,88.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
89.0,0.0,89.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
90.0,0.0,90.0,0.1,0.0,softmax,2.5,stable_mixture,True,11,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
94.0,0.0,94.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
98.0,0.0,98.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207524,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
5.0,0.0,5.0,0.1,0.0,sparsemax,0.05,stable_mixture,True,13,True,0.1591274362682732,35,0.0113444125864966,99.72041256376582,100,high,73.16456697633235
8.0,0.0,8.0,0.1,0.0,sparsemax,0.05,stable_mixture,True,13,True,0.1591274362682732,35,0.0113444125864966,99.72041256376582,100,high,73.16456697633235
10.0,0.0,10.0,0.1,0.0,sparsemax,0.05,stable_mixture,True,12,True,0.1591274362682732,35,0.0113444125864966,99.72041256376582,100,high,73.16456697633235
12.0,0.0,12.0,0.1,0.0,sparsemax,0.05,stable_mixture,True,13,True,0.1591274362682732,35,0.0113444125864966,99.72041256376582,100,high,73.16456697633235
13.0,0.0,13.0,0.1,0.0,sparsemax,0.05,stable_mixture,True,12,True,0.1591274362682732,35,0.0113444125864966,99.72041256376582,100,high,73.16456697633235
14.0,0.0,14.0,0.1,0.0,sparsemax,0.05,stable_mixture,True,13,True,0.1591274362682732,35,0.0113444125864966,99.72041256376582,100,high,73.16456697633235
