rho,method,alpha,median_first_ipr,p10_first_ipr,p90_first_ipr,correct_rate
0.1,softmax,8.0,1.4764353246269852,1.4305520834504208,1.5050962280026379,0.0
0.1,softmax,8.5,1.3198308963182255,1.2877486655320523,1.340348116110219,
0.1,softmax,9.0,1.2169139470520478,1.1942073428002118,1.2321220644552047,
0.1,softmax,9.5,1.1482690894804684,1.1320550111597703,1.159654566528877,
0.1,softmax,10.0,1.1019579191981015,1.0903072153733986,1.1105430934326777,
0.1,softmax,10.5,1.0704405259093708,1.0620589361225485,1.076947864885141,
0.1,softmax,11.0,1.0488473945004506,1.042830675983553,1.0538285626813835,
0.1,softmax,11.5,1.033976781035085,1.0296587918191276,1.0377953310296304,
0.1,softmax,12.0,1.0236938396441126,1.0206014008830506,1.0266233488993175,1.0
0.1,softmax,13.0,1.0115964738066694,1.0099873847892957,1.013314698742699,
0.1,softmax,14.0,1.0057168954762061,1.004871728402509,1.0066596770317877,
0.1,softmax,15.0,1.0028295258216717,1.0023919910415091,1.0033633279574958,
0.1,softmax,16.0,1.001412272223412,1.0011815948996312,1.0017112466829745,
0.1,softmax,17.0,1.0007145483523758,1.0005870415227685,1.000876221226823,
0.1,softmax,18.0,1.0003625538086003,1.0002932593557436,1.0004513652186469,
0.1,softmax,19.0,1.000184416008619,1.000147273574747,1.0002355922819446,
0.1,softmax,20.0,1.000094674743579,1.0000741044312724,1.0001238896530131,
0.1,softmax,21.0,1.0000489263350563,1.000037370323902,1.0000655827197562,
0.1,softmax,22.0,1.000025443284939,1.0000189125683565,1.000035057844894,
0.1,softmax,23.0,1.0000133003199314,1.0000095526755604,1.0000188486343262,
0.1,softmax,24.0,1.0000069874603308,1.0000048403882624,1.0000101886233403,
0.1,softmax,26.0,1.0000019576928625,1.0000012539749363,1.0000030212803586,
0.1,softmax,28.0,1.00000054734714,1.0000003284862633,1.0000009116384008,
0.1,softmax,30.0,1.0000001570400427,1.000000086926056,1.0000002792043816,
0.1,softmax,32.0,1.0000000459411473,1.000000023043042,1.0000000866011987,
0.1,softmax,36.0,1.0000000040348098,1.0000000016559016,1.000000008590158,
0.1,softmax,40.0,1.0000000003636036,1.00000000012475,1.0000000008789087,
0.1,softmax,48.0,1.0000000000029354,1.0000000000007574,1.0000000000097768,
0.1,sparsemax,0.05,74.92275878956514,73.51481214729787,76.40963774837675,
0.1,sparsemax,0.1,46.01573017394391,45.11449321270351,47.540938073764615,
0.1,sparsemax,0.15,30.8556145766728,29.99053677275845,31.812463741688912,
0.1,sparsemax,0.2,22.11273865165751,21.278549083482964,22.825211279346366,
0.1,sparsemax,0.25,16.54475652112162,15.849626832440752,17.16209484229979,0.0
0.1,sparsemax,0.3,12.987654911364718,12.350674795358538,13.450515982344948,
0.1,sparsemax,0.35,10.452255495713302,9.957798685441922,10.800122703005549,
0.1,sparsemax,0.4,8.590946292396017,8.240182573228454,8.880041210958277,
0.1,sparsemax,0.45,7.213223492762015,6.943717049554859,7.442577604254218,
0.1,sparsemax,0.5,6.164033107599701,5.9387774676005245,6.325226162818702,0.0
0.1,sparsemax,0.6,4.6503902514643,4.530736708039429,4.77117350515544,
0.1,sparsemax,0.7,3.6543606107914197,3.5619914927091587,3.7327065110731112,
0.1,sparsemax,0.75,3.269356741531587,3.180493941455771,3.3588578331139964,0.0
0.1,sparsemax,0.8,2.9519989526178607,2.871524088410655,3.0402273023505235,
0.1,sparsemax,0.9,2.440295959905363,2.3877962541832956,2.533794439746204,
0.1,sparsemax,1.0,2.0735799850193817,2.0194372634970588,2.1526944047378396,0.0
0.1,sparsemax,1.1,1.7918667401583765,1.7305464455406483,1.8705816971769675,
0.1,sparsemax,1.2,1.5716260669663882,1.5030976681981771,1.6415800290187186,
0.1,sparsemax,1.3,1.4031121280355692,1.3361298113048474,1.4679795928878332,
0.1,sparsemax,1.4,1.2759056849446324,1.1922607667559075,1.326484616570815,
0.1,sparsemax,1.5,1.1745930795399255,1.09422657463395,1.2151277341727549,1.0
0.1,sparsemax,1.6,1.0874490258269143,1.0253123998718359,1.1327433628318584,
0.1,sparsemax,1.7,1.017335182883137,1.0,1.0727778687182845,
0.1,sparsemax,1.8,1.0,1.0,1.0157470551766894,
0.1,sparsemax,1.9,1.0,1.0,1.0,
0.1,sparsemax,2.0,1.0,1.0,1.0,1.0
0.1,sparsemax,2.25,1.0,1.0,1.0,
0.1,sparsemax,2.5,1.0,1.0,1.0,
0.1,sparsemax,2.75,1.0,1.0,1.0,
0.1,sparsemax,3.0,1.0,1.0,1.0,1.0
0.1,sparsemax,3.25,1.0,1.0,1.0,
0.1,sparsemax,3.5,1.0,1.0,1.0,
0.1,sparsemax,3.75,1.0,1.0,1.0,
